,index,Title,Authors,Page numbers,DOI,Year of publication,Part of publication,category,Number of references,Oldest reference,Newest reference,Range of references
20,79,Lesion-Based Contrastive Learning for Diabetic Retinopathy Grading from Fundus Images,"Yijin Huang, Li Lin, Pujin Cheng, Junyan Lyu, Xiaoying Tang",113-123,/chapter/10.1007/978-3-030-87196-3_11,2021,2,category: classification,20,2012,2020,8
21,80,SAR: Scale-Aware Restoration Learning for 3D Tumor Segmentation,"Xiaoman Zhang, Shixiang Feng, Yuhang Zhou, Ya Zhang, Yanfeng Wang",124-133,/chapter/10.1007/978-3-030-87196-3_12,2021,2,category: classification,18,2014,2021,7
22,82,SpineGEM: A Hybrid-Supervised Model Generation Strategy Enabling Accurate Spine Disease Classification with a Small Training Dataset,"Xihe Kuang, Jason Pui Yin Cheung, Xiaowei Ding, Teng Zhang",145-154,/chapter/10.1007/978-3-030-87196-3_14,2021,2,category: classification,17,1994,2021,27
23,83,Contrastive Learning of Relative Position Regression for One-Shot Object Localization in 3D Medical Images,"Wenhui Lei, Wei Xu, Ran Gu, Hao Fu, Shaoting Zhang, Shichuan Zhang et al.",155-165,/chapter/10.1007/978-3-030-87196-3_15,2021,2,category: classification,25,1993,2020,27
24,84,Topological Learning and Its Application to Multimodal Brain Network Integration,"Tananun Songdechakraiwut, Li Shen, Moo Chung",166-176,/chapter/10.1007/978-3-030-87196-3_16,2021,2,category: classification,30,1996,2020,24
25,86,Implicit Field Learning for Unsupervised Anomaly Detection in Medical Images,"Sergio Naval Marimont, Giacomo Tarroni",189-198,/chapter/10.1007/978-3-030-87196-3_18,2021,2,category: classification,15,2012,2021,9
26,87,Dual-Consistency Semi-supervised Learning with Uncertainty Quantification for COVID-19 Lesion Segmentation from CT Images,"Yanwen Li, Luyang Luo, Huangjing Lin, Hao Chen, Pheng-Ann Heng",199-209,/chapter/10.1007/978-3-030-87196-3_19,2021,2,category: classification,36,2009,2021,12
27,88,Contrastive Pre-training and Representation Distillation for Medical Visual Question Answering Based on Radiology Images,"Bo Liu, Li-Ming Zhan, Xiao-Ming Wu",210-220,/chapter/10.1007/978-3-030-87196-3_20,2021,2,category: classification,29,1997,2021,24
28,89,Positional Contrastive Learning for Volumetric Medical Image Segmentation,"Dewen Zeng, Yawen Wu, Xinrong Hu, Xiaowei Xu, Haiyun Yuan, Meiping Huang et al.",221-230,/chapter/10.1007/978-3-030-87196-3_21,2021,2,category: classification,25,2006,2021,15
29,90,Longitudinal Self-supervision to Disentangle Inter-patient Variability from Disease Progression,"Raphaël Couronné, Paul Vernhet, Stanley Durrleman",231-241,/chapter/10.1007/978-3-030-87196-3_22,2021,2,category: classification,25,2002,2020,18
30,92,Unsupervised Contrastive Learning of Radiomics and Deep Features for Label-Efficient Tumor Classification,"Ziteng Zhao, Guanyu Yang",252-261,/chapter/10.1007/978-3-030-87196-3_24,2021,2,category: classification,23,2005,2020,15
31,94,Multimodal Representation Learning via Maximization of Local Mutual Information,"Ruizhi Liao, Daniel Moyer, Miriam Cha, Keegan Quigley, Seth Berkowitz, Steven Horng et al.",273-283,/chapter/10.1007/978-3-030-87196-3_26,2021,2,category: classification,33,1954,2021,67
32,95,Inter-regional High-Level Relation Learning from Functional Connectivity via Self-supervision,"Wonsik Jung, Da-Woon Heo, Eunjin Jeon, Jaein Lee, Heung-Il Suk",284-293,/chapter/10.1007/978-3-030-87196-3_27,2021,2,category: classification,27,2002,2020,18
33,100,Lesion Segmentation and RECIST Diameter Prediction via Click-Driven Attention and Dual-Path Connection,"Youbao Tang, Ke Yan, Jinzheng Cai, Lingyun Huang, Guotong Xie, Jing Xiao et al.",341-351,/chapter/10.1007/978-3-030-87196-3_32,2021,2,category: classification,27,2009,2021,12
34,101,Reciprocal Learning for Semi-supervised Segmentation,"Xiangyun Zeng, Rian Huang, Yuming Zhong, Dong Sun, Chu Han, Di Lin et al.",352-361,/chapter/10.1007/978-3-030-87196-3_33,2021,2,category: classification,16,1992,2021,29
35,102,Disentangled Sequential Graph Autoencoder for Preclinical Alzheimer’s Disease Characterizations from ADNI Study,"Fan Yang, Rui Meng, Hyuna Cho, Guorong Wu, Won Hwa Kim",362-372,/chapter/10.1007/978-3-030-87196-3_34,2021,2,category: classification,30,1997,2021,24
36,103,POPCORN: Progressive Pseudo-Labeling with Consistency Regularization and Neighboring,"Reda Abdellah Kamraoui, Vinh-Thong Ta, Nicolas Papadakis, Fanny Compaire, José V. Manjon, Pierrick Coupé",373-382,/chapter/10.1007/978-3-030-87196-3_35,2021,2,category: classification,20,2009,2020,11
37,106,Implicit Neural Distance Representation for Unsupervised and Supervised Classification of Complex Anatomies,"Kristine Aavild Juhl, Xabier Morales, Ole de Backer, Oscar Camara, Rasmus Reinhold Paulsen",405-415,/chapter/10.1007/978-3-030-87196-3_38,2021,2,category: classification,25,1987,2021,34
38,109,Neighbor Matching for Semi-supervised Learning,"Renzhen Wang, Yichen Wu, Huai Chen, Lisheng Wang, Deyu Meng",439-449,/chapter/10.1007/978-3-030-87196-3_41,2021,2,category: classification,21,2004,2020,16
39,112,Order-Guided Disentangled Representation Learning for Ulcerative Colitis Classification with Limited Labels,"Shota Harada, Ryoma Bise, Hideaki Hayashi, Kiyohito Tanaka, Seiichi Uchida",471-480,/chapter/10.1007/978-3-030-87196-3_44,2021,2,category: classification,11,2001,2021,20
40,113,Semi-supervised Contrastive Learning for Label-Efficient Medical Image Segmentation,"Xinrong Hu, Dewen Zeng, Xiaowei Xu, Yiyu Shi",481-490,/chapter/10.1007/978-3-030-87196-3_45,2021,2,category: classification,19,2014,2020,6
41,114,Functional Magnetic Resonance Imaging Data Augmentation Through Conditional ICA,"Badr Tajini, Hugo Richard, Bertrand Thirion",491-500,/chapter/10.1007/978-3-030-87196-3_46,2021,2,category: classification,29,1995,2020,25
42,118,OXnet: Deep Omni-Supervised Thoracic Disease Detection from Chest X-Rays,"Luyang Luo, Hao Chen, Yanning Zhou, Huangjing Lin, Pheng-Ann Heng",537-548,/chapter/10.1007/978-3-030-87196-3_50,2021,2,category: classification,34,2009,2021,12
43,121,Improving Pneumonia Localization via Cross-Attention on Medical Images and Reports,"Riddhish Bhalodia, Ali Hatamizadeh, Leo Tam, Ziyue Xu, Xiaosong Wang, Evrim Turkbey et al.",571-581,/chapter/10.1007/978-3-030-87196-3_53,2021,2,category: classification,21,2013,2020,7
44,122,Combining Attention-Based Multiple Instance Learning and Gaussian Processes for CT Hemorrhage Detection,"Yunan Wu, Arne Schmidt, Enrique Hernández-Sánchez, Rafael Molina, Aggelos K. Katsaggelos",582-591,/chapter/10.1007/978-3-030-87196-3_54,2021,2,category: classification,18,2013,2020,7
45,124,Observational Supervision for Medical Image Classification Using Gaze Data,"Khaled Saab, Sarah M. Hooper, Nimit S. Sohoni, Jupinder Parmar, Brian Pogatchnik, Sen Wu et al.",603-614,/chapter/10.1007/978-3-030-87196-3_56,2021,2,category: classification,39,2000,2021,21
46,129,Towards Robust General Medical Image Segmentation,"Laura Daza, Juan C. Pérez, Pablo Arbeláez",3-13,/chapter/10.1007/978-3-030-87199-4_1,2021,3,category: classification,38,2014,2021,7
47,131,Targeted Gradient Descent: A Novel Method for Convolutional Neural Networks Fine-Tuning and Online-Learning,"Junyu Chen, Evren Asma, Chung Chan",25-35,/chapter/10.1007/978-3-030-87199-4_3,2021,3,category: classification,23,1997,2020,23
48,132,A Hierarchical Feature Constraint to Camouflage Medical Adversarial Attacks,"Qingsong Yao, Zecheng He, Yi Lin, Kai Ma, Yefeng Zheng, S. Kevin Zhou",36-47,/chapter/10.1007/978-3-030-87199-4_4,2021,3,category: classification,41,1977,2021,44
49,135,AlignTransformer: Hierarchical Alignment of Visual Regions and Disease Tags for Medical Report Generation,"Di You, Fenglin Liu, Shen Ge, Xiaoxia Xie, Jing Zhang, Xian Wu",72-82,/chapter/10.1007/978-3-030-87199-4_7,2021,3,category: classification,45,1997,2021,24
50,136,Continuous-Time Deep Glioma Growth Models,"Jens Petersen, Fabian Isensee, Gregor Köhler, Paul F. Jäger, David Zimmerer, Ulf Neuberger et al.",83-92,/chapter/10.1007/978-3-030-87199-4_8,2021,3,category: classification,23,2011,2020,9
51,137,Spine-Transformers: Vertebra Detection and Localization in Arbitrary Field-of-View Spine CT with Transformers,"Rong Tao, Guoyan Zheng",93-103,/chapter/10.1007/978-3-030-87199-4_9,2021,3,category: classification,25,1955,2021,66
52,138,Multi-view Analysis of Unregistered Medical Images Using Cross-View Transformers,"Gijs van Tulder, Yao Tong, Elena Marchiori",104-113,/chapter/10.1007/978-3-030-87199-4_10,2021,3,category: classification,9,2001,2019,18
53,139,Stain Mix-Up: Unsupervised Domain Generalization for Histopathology Images,"Jia-Ren Chang, Min-Sheng Wu, Wei-Hsiang Yu, Chi-Chung Chen, Cheng-Kung Yang, Yen-Yu Lin et al.",117-126,/chapter/10.1007/978-3-030-87199-4_11,2021,3,category: classification,21,1852,2020,168
54,141,Generative Self-training for Cross-Domain Unsupervised Tagged-to-Cine MRI Synthesis,"Xiaofeng Liu, Fangxu Xing, Maureen Stone, Jiachen Zhuo, Timothy Reese, Jerry L. Prince et al.",138-148,/chapter/10.1007/978-3-030-87199-4_13,2021,3,category: classification,33,1994,2021,27
55,145,Harmonization with Flow-Based Causal Inference,"Rongguang Wang, Pratik Chaudhari, Christos Davatzikos",181-190,/chapter/10.1007/978-3-030-87199-4_17,2021,3,category: classification,37,1983,2021,38
56,150,Reference-Relation Guided Autoencoder with Deep CCA Restriction for Awake-to-Sleep Brain Functional Connectome Prediction,"Dan Hu, Weiyan Yin, Zhengwang Wu, Liangjun Chen, Li Wang, Weili Lin et al.",231-240,/chapter/10.1007/978-3-030-87199-4_22,2021,3,category: classification,29,2002,2021,19
57,159,Federated Semi-supervised Medical Image Classification via Inter-client Relation Matching,"Quande Liu, Hongzheng Yang, Qi Dou, Pheng-Ann Heng",325-335,/chapter/10.1007/978-3-030-87199-4_31,2021,3,category: classification,33,2012,2021,9
58,160,FedPerl: Semi-supervised Peer Learning for Skin Lesion Classification,"Tariq Bdair, Nassir Navab, Shadi Albarqouni",336-346,/chapter/10.1007/978-3-030-87199-4_32,2021,3,category: classification,29,1998,2021,23
59,161,Personalized Retrogress-Resilient Framework for Real-World Medical Federated Learning,"Zhen Chen, Meilu Zhu, Chen Yang, Yixuan Yuan",347-356,/chapter/10.1007/978-3-030-87199-4_33,2021,3,category: classification,27,1998,2021,23
60,163,Federated Contrastive Learning for Volumetric Medical Image Segmentation,"Yawen Wu, Dewen Zeng, Zhepeng Wang, Yiyu Shi, Jingtong Hu",367-377,/chapter/10.1007/978-3-030-87199-4_35,2021,3,category: classification,32,2006,2021,15
61,164,Federated Contrastive Learning for Decentralized Unlabeled Medical Images,"Nanqing Dong, Irina Voiculescu",378-387,/chapter/10.1007/978-3-030-87199-4_36,2021,3,category: classification,27,1964,2021,57
62,165,Explaining COVID-19 and Thoracic Pathology Model Predictions by Identifying Informative Input Features,"Ashkan Khakzar, Yang Zhang, Wejdene Mansour, Yuezhi Cai, Yawei Li, Yucheng Zhang et al.",391-401,/chapter/10.1007/978-3-030-87199-4_37,2021,3,category: classification,32,2013,2021,8
63,166,Demystifying T1-MRI to FDG $$^{18}$$ 18 -PET Image Translation via Representational Similarity,"Chia-Hsiang Kao, Yong-Sheng Chen, Li-Fen Chen, Wei-Chen Chiu",402-412,/chapter/10.1007/978-3-030-87199-4_38,2021,3,category: classification,29,2001,2020,19
64,168,An Interpretable Approach to Automated Severity Scoring in Pelvic Trauma,"Anna Zapaishchykova, David Dreizin, Zhaoshuo Li, Jie Ying Wu, Shahrooz Faghihroohi, Mathias Unberath",424-433,/chapter/10.1007/978-3-030-87199-4_40,2021,3,category: classification,26,1066,2021,955
65,169,"Scalable, Axiomatic Explanations of Deep Alzheimer’s Diagnosis from Heterogeneous Data","Sebastian Pölsterl, Christina Aigner, Christian Wachinger",434-444,/chapter/10.1007/978-3-030-87199-4_41,2021,3,category: classification,29,1953,2021,68
66,170,"SPARTA: An Integrated Stability, Discriminability, and Sparsity Based Radiomic Feature Selection Approach","Amir Reza Sadri, Sepideh Azarianpour Esfahani, Prathyush Chirra, Jacob Antunes, Pavithran Pattiam Giriprakash, Patrick Leo et al.",445-455,/chapter/10.1007/978-3-030-87199-4_42,2021,3,category: classification,28,1953,2021,68
67,172,Fighting Class Imbalance with Contrastive Learning,"Yassine Marrakchi, Osama Makansi, Thomas Brox",466-476,/chapter/10.1007/978-3-030-87199-4_44,2021,3,category: classification,45,2002,2020,18
68,173,Interpretable Gender Classification from Retinal Fundus Images Using BagNets,"Indu Ilanchezian, Dmitry Kobak, Hanna Faber, Focke Ziemssen, Philipp Berens, Murat Seçkin Ayhan",477-487,/chapter/10.1007/978-3-030-87199-4_45,2021,3,category: classification,29,2006,2021,15
69,174,Explainable Classification of Weakly Annotated Wireless Capsule Endoscopy Images Based on a Fuzzy Bag-of-Colour Features Model and Brain Storm Optimization,"Michael Vasilakakis, Georgia Sovatzidi, Dimitris K. Iakovidis",488-498,/chapter/10.1007/978-3-030-87199-4_46,2021,3,category: classification,22,1960,2021,61
70,175,Towards Semantic Interpretation of Thoracic Disease and COVID-19 Diagnosis Models,"Ashkan Khakzar, Sabrina Musatian, Jonas Buchberger, Icxel Valeriano Quiroz, Nikolaus Pinger, Soroosh Baselizadeh et al.",499-508,/chapter/10.1007/978-3-030-87199-4_47,2021,3,category: classification,26,1953,2021,68
71,176,A Principled Approach to Failure Analysis and Model Repairment: Demonstration in Medical Imaging,"Thomas Henn, Yasukazu Sakamoto, Clément Jacquet, Shunsuke Yoshizawa, Masamichi Andou, Stephen Tchen et al.",509-518,/chapter/10.1007/978-3-030-87199-4_48,2021,3,category: classification,18,2014,2021,7
72,177,Using Causal Analysis for Conceptual Deep Learning Explanation,"Sumedha Singla, Stephen Wallace, Sofia Triantafillou, Kayhan Batmanghelich",519-528,/chapter/10.1007/978-3-030-87199-4_49,2021,3,category: classification,23,1974,2020,46
73,179,Sharpening Local Interpretable Model-Agnostic Explanations for Histopathology: Improved Understandability and Reliability,"Mara Graziani, Iam Palatnik de Sousa, Marley M. B. R. Vellasco, Eduardo Costa da Silva, Henning Müller, Vincent Andrearczyk",540-549,/chapter/10.1007/978-3-030-87199-4_51,2021,3,category: classification,23,2008,2020,12
74,180,Improving the Explainability of Skin Cancer Diagnosis Using CBIR,"Catarina Barata, Carlos Santiago",550-559,/chapter/10.1007/978-3-030-87199-4_52,2021,3,category: classification,20,2008,2021,13
75,181,PAC Bayesian Performance Guarantees for Deep (Stochastic) Networks in Medical Imaging,"Anthony Sicilia, Xingchen Zhao, Anastasia Sosnovskikh, Seong Jae Hwang",560-570,/chapter/10.1007/978-3-030-87199-4_53,2021,3,category: classification,49,1971,2020,49
76,185,Learning to Predict Error for MRI Reconstruction,"Shi Hu, Nicola Pezzotti, Max Welling",604-613,/chapter/10.1007/978-3-030-87199-4_57,2021,3,category: classification,30,1989,2020,31
77,187,Variational Topic Inference for Chest X-Ray Report Generation,"Ivona Najdenkoska, Xiantong Zhen, Marcel Worring, Ling Shao",625-635,/chapter/10.1007/978-3-030-87199-4_59,2021,3,category: classification,33,1997,2020,23
78,188,Uncertainty Aware Deep Reinforcement Learning for Anatomical Landmark Detection in Medical Images,"James Browning, Micha Kornreich, Aubrey Chow, Jayashri Pawar, Li Zhang, Richard Herzog et al.",636-644,/chapter/10.1007/978-3-030-87199-4_60,2021,3,category: classification,16,1957,2020,63
79,189,Medical Image Registration Based on Uncoupled Learning and Accumulative Enhancement,"Yucheng Shu, Hao Wang, Bin Xiao, Xiuli Bi, Weisheng Li",3-13,/chapter/10.1007/978-3-030-87202-1_1,2021,4,category: classification,25,2008,2020,12
80,191,Learning Unsupervised Parameter-Specific Affine Transformation for Medical Images Registration,"Xu Chen, Yanda Meng, Yitian Zhao, Rachel Williams, Srinivasa R. Vallabhaneni, Yalin Zheng",24-34,/chapter/10.1007/978-3-030-87202-1_3,2021,4,category: classification,19,2009,2020,11
81,192,Conditional Deformable Image Registration with Convolutional Neural Network,"Tony C. W. Mok, Albert C. S. Chung",35-45,/chapter/10.1007/978-3-030-87202-1_4,2021,4,category: classification,30,1998,2021,23
82,198,Weakly Supervised Registration of Prostate MRI and Histopathology Images,"Wei Shao, Indrani Bhattacharya, Simon J. C. Soerensen, Christian A. Kunder, Jeffrey B. Wang, Richard E. Fan et al.",98-107,/chapter/10.1007/978-3-030-87202-1_10,2021,4,category: classification,22,2000,2021,21
83,201,Learning Dual Transformer Network for Diffeomorphic Registration,"Yungeng Zhang, Yuru Pei, Hongbin Zha",129-138,/chapter/10.1007/978-3-030-87202-1_13,2021,4,category: classification,27,2005,2021,16
84,204,Spectral Embedding Approximation and Descriptor Learning for Craniofacial Volumetric Image Correspondence,"Diya Sun, Yungeng Zhang, Yuru Pei, Tianmin Xu, Hongbin Zha",161-170,/chapter/10.1007/978-3-030-87202-1_16,2021,4,category: classification,25,2012,2020,8
85,208,Revisiting Iterative Highly Efficient Optimisation Schemes in Medical Image Registration,"Lasse Hansen, Mattias P. Heinrich",203-212,/chapter/10.1007/978-3-030-87202-1_20,2021,4,category: classification,20,2005,2021,16
86,210,Self-supervised Generative Adversarial Network for Depth Estimation in Laparoscopic Images,"Baoru Huang, Jian-Qing Zheng, Anh Nguyen, David Tuch, Kunal Vyas, Stamatia Giannarou et al.",227-237,/chapter/10.1007/978-3-030-87202-1_22,2021,4,category: classification,33,2001,2021,20
87,214,Class-Incremental Domain Adaptation with Smoothing and Calibration for Surgical Report Generation,"Mengya Xu, Mobarakol Islam, Chwee Ming Lim, Hongliang Ren",269-278,/chapter/10.1007/978-3-030-87202-1_26,2021,4,category: classification,25,2002,2021,19
88,216,Surgical Instruction Generation with Transformers,"Jinglu Zhang, Yinyu Nie, Jian Chang, Jian Jun Zhang",290-299,/chapter/10.1007/978-3-030-87202-1_28,2021,4,category: classification,27,2002,2020,18
89,225,Deep Iterative 2D/3D Registration,"Srikrishna Jaganathan, Jian Wang, Anja Borsdorf, Karthik Shetty, Andreas Maier",383-392,/chapter/10.1007/978-3-030-87202-1_37,2021,4,category: classification,23,2004,2021,17
90,230,Task Fingerprinting for Meta Learning inBiomedical Image Analysis,"Patrick Godau, Lena Maier-Hein",436-446,/chapter/10.1007/978-3-030-87202-1_42,2021,4,category: classification,44,1989,2020,31
91,231,Acoustic-Based Spatio-Temporal Learning for Press-Fit Evaluation of Femoral Stem Implants,"Matthias Seibold, Armando Hoch, Daniel Suter, Mazda Farshad, Patrick O. Zingg, Nassir Navab et al.",447-456,/chapter/10.1007/978-3-030-87202-1_43,2021,4,category: classification,23,2004,2021,17
92,232,Deep Simulation of Facial Appearance Changes Following Craniomaxillofacial Bony Movements in Orthognathic Surgical Planning,"Lei Ma, Daeseung Kim, Chunfeng Lian, Deqiang Xiao, Tianshu Kuang, Qin Liu et al.",459-468,/chapter/10.1007/978-3-030-87202-1_44,2021,4,category: classification,21,1993,2021,28
93,236,High-Particle Simulation of Monte-Carlo Dose Distribution with 3D ConvLSTMs,"Sonia Martinot, Norbert Bus, Maria Vakalopoulou, Charlotte Robert, Eric Deutsch, Nikos Paragios",499-508,/chapter/10.1007/978-3-030-87202-1_48,2021,4,category: classification,21,1986,2020,34
94,238,Facial and Cochlear Nerves Characterization Using Deep Reinforcement Learning for Landmark Detection,"Paula López Diez, Josefine Vilsbøll Sundgaard, François Patou, Jan Margeta, Rasmus Reinhold Paulsen",519-528,/chapter/10.1007/978-3-030-87202-1_50,2021,4,category: classification,26,1959,2021,62
95,240,A New Approach to Orthopedic Surgery Planning Using Deep Reinforcement Learning and Simulation,"Joëlle Ackermann, Matthias Wieland, Armando Hoch, Reinhold Ganz, Jess G. Snedeker, Martin R. Oswald et al.",540-549,/chapter/10.1007/978-3-030-87202-1_52,2021,4,category: classification,33,1996,2020,24
96,241,Whole Heart Mesh Generation for Image-Based Computational Simulations by Learning Free-From Deformations,"Fanwei Kong, Shawn C. Shadden",550-559,/chapter/10.1007/978-3-030-87202-1_53,2021,4,category: classification,26,2008,2021,13
97,246,OperA: Attention-Regularized Transformers for Surgical Phase Recognition,"Tobias Czempiel, Magdalini Paschali, Daniel Ostler, Seong Tae Kim, Benjamin Busam, Nassir Navab",604-614,/chapter/10.1007/978-3-030-87202-1_58,2021,4,category: classification,27,1997,2021,24
98,248,Multi-view Surgical Video Action Detection via Mixed Global View Attention,"Adam Schmidt, Aidean Sharghi, Helene Haugerud, Daniel Oh, Omid Mohareri",626-635,/chapter/10.1007/978-3-030-87202-1_60,2021,4,category: classification,20,2005,2020,15
99,250,Image-Based Incision Detection for Topological Intraoperative 3D Model Update in Augmented Reality Assisted Laparoscopic Surgery,"Tom François, Lilian Calvet, Callyane Sève-d’Erceville, Nicolas Bourdel, Adrien Bartoli",647-656,/chapter/10.1007/978-3-030-87202-1_62,2021,4,category: classification,20,2008,2021,13
100,252,SurgeonAssist-Net: Towards Context-Aware Head-Mounted Display-Based Augmented Reality for Surgical Guidance,"Mitchell Doughty, Karan Singh, Nilesh R. Ghugre",667-677,/chapter/10.1007/978-3-030-87202-1_64,2021,4,category: classification,35,1997,2020,23
101,255,CA-Net: Leveraging Contextual Features for Lung Cancer Prediction,"Mingzhou Liu, Fandong Zhang, Xinwei Sun, Yizhou Yu, Yizhou Wang",23-32,/chapter/10.1007/978-3-030-87240-3_3,2021,5,category: classification,22,1991,2020,29
102,257,DAE-GCN: Identifying Disease-Related Features for Disease Prediction,"Churan Wang, Xinwei Sun, Fandong Zhang, Yizhou Yu, Yizhou Wang",43-52,/chapter/10.1007/978-3-030-87240-3_5,2021,5,category: classification,14,1996,2020,24
103,258,Enhanced Breast Lesion Classification via Knowledge Guided Cross-Modal and Semantic Data Augmentation,"Kun Chen, Yuanfan Guo, Canqian Yang, Yi Xu, Rui Zhang, Chunxiao Li et al.",53-63,/chapter/10.1007/978-3-030-87240-3_6,2021,5,category: classification,29,2003,2021,18
104,259,Multiple Meta-model Quantifying for Medical Visual Question Answering,"Tuong Do, Binh X. Nguyen, Erman Tjiputra, Minh Tran, Quang D. Tran, Anh Nguyen",64-74,/chapter/10.1007/978-3-030-87240-3_7,2021,5,category: classification,45,1987,2021,34
